population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
CPN,27,,C,,,,,,,,,,,,,,,,,,5.5776930478,1.2837347504,
CPN,27,F,C,1,,,,,,,,,,,,,,,,,5.6619786926,1.3365085063,1
CPN,28,,C,,,,,,,,,,,,,,,,,,4.9161420705,1.085223992,
CPN,28,F,C,1,,,,,,,,,,,,,,,,,4.9757772336,1.1230625248,1
CPN,29,,C,,,,,,,,,,,,,,,,,,4.921893617,1.1845886525,
CPN,29,,C,,,,,,,,,,,,,,,,,,4.9652438744,1.2193416079,
CPN,30,,C,,,,,,,,,,,,,,,,,,4.7800222689,1.1136495268,
CPN,30,,C,,,,,,,,,,,,,,,,,,4.8280790816,1.1326989796,
CPN,31,,C,,,,,,,,,,,,,,,,,,4.6544753804,1.1198074368,
CPN,31,,C,,,,,,,,,,,,,,,,,,4.7323726619,1.1692619325,
CPN,32,,C,,,,,,,,,,,,,,,,,,4.8364705243,1.219816898,
CPN,32,,C,,,,,,,,,,,,,,,,,,4.9317908523,1.230713218,
CPN,33,,C,,,,,,,,,,,,,,,,,,5.0689037503,1.1286315192,
CPN,33,M,C,1,,,,,,,,,,,,,,,,,5.0579201796,1.1422609405,1
CPN,34,,C,,,,,,,,,,,,,,,,,,5.4428665637,1.2428108551,
CPN,34,,C,,,,,,,,,,,,,,,,,,5.4433421764,1.2805877251,
CPN,35,,C,,,,,,,,,,,,,,,,,,3.5630360387,0.8168513902,
CPN,35,,C,,,,,,,,,,,,,,,,,,,,
CPN,36,,C,,,,,,,,,,,,,,,,,,3.3769598109,0.8371489362,
CPN,36,,C,,,,,,,,,,,,,,,,,,3.4462631919,0.8649400531,
CPS,1,,B,,,,,,,,,,,,,,,,,,5.2805947242,1.3172541966,
CPS,2,,B,,,,,,,,,,,,,,,,,,5.516011343,1.3164921987,
CPS,3,,B,,,,,,,,,,,,,,,,,,5.4640697952,1.3334742314,
CPS,4,,B,,,,,,,,,,,,,,,,,,5.297139448,1.2391192505,
CPS,5,,B,,,,,,,,,,,,,,,,,,4.9563997092,1.1523486091,
CPS,6,,B,,,,,,,,,,,,,,,,,,5.238389395,1.2157952668,
CPS,7,,B,,,,,,,,,,,,,,,,,,5.6960588004,1.297390649,
CPS,8,,B,,,,,,,,,,,,,,,,,,4.7488603418,1.1740433706,
CPS,9,,B,,,,,,,,,,,,,,,,,,5.5000434783,1.2827922705,
CPS,10,,B,,,,,,,,,,,,,,,,,,5.2135507246,1.2609516908,
CPS,11,,B,,,,,,,,,,,,,,,,,,5.1644521577,1.1445179817,
CPS,12,,B,,,,,,,,,,,,,,,,,,5.0721347878,1.2949490541,
CPS,13,,B,,,,,,,,,,,,,,,,,,5.0572842609,1.1800845476,
CPS,14,,B,,,,,,,,,,,,,,,,,,5.3056368068,1.1814831007,
CPS,15,,B,,,,,,,,,,,,,,,,,,3.793524173,0.6953282443,
CPS,16,,B,,,,,,,,,,,,,,,,,,4.0072504269,0.9615481251,
CPS,17,,B,,,,,,,,,,,,,,,,,,3.3252540947,0.7768991723,
CPS,6A,,B,,,,,,,,,,,,,,,,,,3.83525,0.9470909091,
CPSE2014,1,,B,,,,,,,,,,,,,,,,,,4.8145974802,1.1130636776,
CPSE2014,2,M,B,1,,,,,,,,,,,6.5,6.2,1.5,1.4,0.909,,4.9528436235,1.2196430663,1
CPSE2014,3,,B,,,,,,,,,,,,,,,,,,5.8743751695,1.3330620891,
CPSE2014,4,,B,,,,,,,,,,,,,,,,,,5.0303161788,1.1948340074,
CPSE2014,5,,B,,,,,,,,,,,,,,,,,,5.0776360727,1.2390208506,
CPSE2014,6,,B,,,,,,,,,,,,,,,,,,5.5122425144,1.3034143644,
CPSE2014,7,,B,,,,,,,,,,,,,,,,,,5.8976587927,1.3549028871,
CPSE2014,8,,B,,,,,,,,,,,,,,,,,,4.8517777778,1.1862739018,
CPSE2014,9,F,B,1,1.6,1.6,1.55,1.6,1.5,1,1.5,0.95,1.5,0.9,,,,,3.724,,5.749325641,1.3308589744,1
CPSE2014,10,,B,,,,,,,,,,,,,,,,,,4.9810677705,1.1106864903,
CPSE2014,11,F,B,1,0.7,1.1,1.1,1,0.9,1.2,1,1,0.9,1,,,,,1.387,,5.4591041667,1.2668046875,NA
CPSE2014,12,M,B,1,,,,,,,,,,,2.2,4.7,0.6,1.1,0.6,,4.9130126129,1.0869441313,NA
CPSE2014,13,,B,,,,,,,,,,,,,,,,,,4.8000785505,1.1476698397,
CPSE2014,14,,B,,,,,,,,,,,,,,,,,,4.5846230769,1.1115307692,
CPSE2014,15,F,B,1,1.6,1.7,1.7,1.6,1.5,1.6,1.6,1.5,1.6,1.5,,,,,3.66,,5.1346948718,1.3005692308,1
CPSE2014,16,F,B,1,1.5,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.7,,,,,3.81,,5.6740700811,1.3362603252,1
CPSE2014,17,,B,,,,,,,,,,,,,,,,,,5.1430989583,1.1955416667,
CPSE2014,18,,B,,,,,,,,,,,,,,,,,,5.2884651163,1.2480620155,
CPSE2014,19,F,B,1,0.9,0.9,0.9,1,1,0.8,1,1,0.9,1,,,,,1.898,,5.8515046405,1.4150755706,1
CPSE2014,20,M,B,1,,,,,,,,,,,5.5,4.7,1.1,1.3,0.725,,4.9620864469,1.2200009302,1
CPSE2014,21,M,B,1,,,,,,,,,,,6,5,1.2,1.2,0.82,,4.9995105505,1.1793910519,1
CPSE2014,22,,B,,,,,,,,,,,,,,,,,,5.0152992672,1.1890716567,
CPSE2014,23,F,B,1,0.9,0.9,0.9,0.8,0.9,1,1,0.9,0.8,0.9,,,,,1.44,,5.3404648951,1.2263366511,1
CPSE2014,24,,B,,,,,,,,,,,,,,,,,,5.2095829723,1.2621870241,
CPSE2014,25,M,B,1,,,,,,,,,,,6,6,1.2,1.2,0.668,,5.0224966928,1.2547368311,1
CPSE2014,26,,B,,,,,,,,,,,,,,,,,,5.4230076531,1.2217857143,
CPSE2014,27,,B,,,,,,,,,,,,,,,,,,5.1663325222,1.2141432383,
CPSE2014,28,,B,,,,,,,,,,,,,,,,,,4.9486647607,1.1128190664,
CPSE2014,29,,B,,,,,,,,,,,,,,,,,,5.3867168367,1.2502602041,
CPSE2014,30,,B,,,,,,,,,,,,,,,,,,5.3489683889,1.2153191751,
CPSE2014,31,,B,,,,,,,,,,,,,,,,,,5.4138802782,1.2717366501,
CPSE2014,32,M,B,1,,,,,,,,,,,7,5.5,1.3,1,0.932,,5.1347018724,1.2320408242,1
CPSE2014,33,M,B,1,,,,,,,,,,,5.2,5.2,1.3,1.1,0.882,,5.3344572505,1.3025576595,1
CPSE2014,34,F,B,1,1.5,1.5,1.6,1.4,1.45,1.6,1.5,1.5,1.6,1.5,,,,,3.921,,5.5097436902,1.3143570608,1
CPSE2014,35,,B,,,,,,,,,,,,,,,,,,5.0105642969,1.2122137601,
CPSE2014,36,,B,,,,,,,,,,,,,,,,,,5.5505031987,1.2051230112,
CPSE2014,37,,B,,,,,,,,,,,,,,,,,,5.1076514052,1.3075380853,
CPSE2014,38,M,B,1,,,,,,,,,,,,,,,,,4.8237864115,1.1838747144,1
CPSE2014,39,,B,,,,,,,,,,,,,,,,,,5.4209176805,1.2925449674,
CPSE2014,40,,B,,,,,,,,,,,,,,,,,,5.8270919604,1.2924526609,
FTGC,1,,B,,,,,,,,,,,,,,,,,,5.3295885362,1.2019123465,
FTGC,2,,B,,,,,,,,,,,,,,,,,,5.47931228,1.3275036988,
FTGC,3,,B,,,,,,,,,,,,,,,,,,5.1935798114,1.252531519,
FTGC,4,,B,,,,,,,,,,,,,,,,,,5.4384133931,1.209104218,
FTGC,5,,B,,,,,,,,,,,,,,,,,,5.6591063294,1.3064563852,
FTGC,6,,B,,,,,,,,,,,,,,,,,,5.1554919163,1.2149054214,
FTGC,7,,B,,,,,,,,,,,,,,,,,,5.5871913265,1.2959285714,
FTGC,8,,B,,,,,,,,,,,,,,,,,,5.2462598674,1.2474505246,
FTGC,9,,B,,,,,,,,,,,,,,,,,,5.4423438477,1.3191642964,
FTGC,10,,B,,,,,,,,,,,,,,,,,,5.4198857867,1.2472748076,
FTGC,11,,B,,,,,,,,,,,,,,,,,,5.1572088706,1.168029317,
FTGC,12,,B,,,,,,,,,,,,,,,,,,5.7923291556,1.325908866,
FTGC,13,,B,,,,,,,,,,,,,,,,,,5.1530191088,1.2206433519,
FTGC,14,,B,,,,,,,,,,,,,,,,,,5.0517927067,1.2347214959,
GC,1,F,B,1,1.3,1.3,1.4,1.3,1.45,1.3,1.3,1.4,1.25,1.25,,,,,3.73,,6.1533376289,1.3505541237,1
GC,2,F,B,1,1.5,1.55,0.155,1.6,1.45,1.5,1.6,1.6,1.5,1.5,,,,,4.758,,5.1765025641,1.2055205128,1
GC,3,,B,,,,,,,,,,,,,,,,,,5.4537503286,1.2267566216,
GC,4,F,B,1,0.7,0.8,0.65,0.75,0.8,0.9,0.8,0.8,0.8,0.65,,,,,0.772,,5.6000831242,1.2800522204,1
GC,5,,B,,,,,,,,,,,,,,,,,,5.5194745924,1.3236415475,
GC,6,,B,,,,,,,,,,,,,,,,,,5.2113505155,1.2783608247,
GC,7,M,B,1,,,,,,,,,,,4,5,0.9,0.9,0.391,,4.928291731,1.0714633742,1
GC,8,,B,,,,,,,,,,,,,,,,,,5.0666940167,1.0871783695,
GC,9,M,B,1,,,,,,,,,,,6.3,6.3,1.7,1.5,0.309,,5.2067814963,1.2231277573,1
GC,10,M,B,1,,,,,,,,,,,7.6,5.4,1.3,1.5,0.869,,6.1705257732,1.3816829897,1
GC,11,,B,,,,,,,,,,,,,,,,,,5.3607410256,1.2666769231,
GC,12,F,B,1,1.5,1.5,1.6,1.7,1.6,1.5,1.6,1.5,1.7,1.45,,,,,4.495,,5.9593688545,1.3948069463,1
GC,13,F,B,1,1.5,1.45,1.35,1.3,1.3,1.4,1.6,1.35,1.4,1.4,,,,,4.742,,4.3518286119,1.0526545354,1
GC,14,F,B,1,1.4,1.3,1.3,1.4,1.2,1.3,1.3,1.3,1.3,1.4,,,,,3.641,,5.6563200561,1.3498461665,1
GC,15,M,B,1,,,,,,,,,,,7.5,7.7,1.35,1.5,1.059,,4.6900400768,1.0463911548,1
GC,16,M,B,1,,,,,,,,,,,5.4,4.9,1.2,1.45,0.615,,6.1175750309,1.3826354256,1
GC,17,,B,,,,,,,,,,,,,,,,,,5.2892242268,1.0775180412,
GC,18,F,B,1,1.85,1.8,1.8,1.8,1.6,1.9,1.7,1.7,1.7,1.8,,,,,5.922,,6.1564365482,1.4366294416,1
GC,19,M,B,1,,,,,,,,,,,6,5,1.4,1.2,0.73,,5.2499808696,1.1783438678,1
GC,20,,B,,,,,,,,,,,,,,,,,,5.2716811719,1.2422111174,
GC,21,M,B,1,,,,,,,,,,,6.2,4.9,1.5,1.2,0.718,,5.9538999182,1.307783427,1
GC,22,,B,,,,,,,,,,,,,,,,,,5.1804025641,1.1541307692,
GC,23,,B,,,,,,,,,,,,,,,,,,5.4223458674,1.2307534519,
GC,24,M,B,1,,,,,,,,,,,6.2,5.6,1.5,1.2,0.77,,5.295895332,1.2582786577,1
GC,25,,B,,,,,,,,,,,,,,,,,,5.3664570605,1.2449228964,
GC,26,,B,,,,,,,,,,,,,,,,,,5.3813955618,1.2593945747,
GC,27,,B,,,,,,,,,,,,,,,,,,5.5040763359,1.198692112,
GC,28,F,B,1,1.5,1.4,1.6,1.55,1.55,1.5,1.4,1.4,1.35,1.7,,,,,4.28,,6.3981441597,1.4687830118,1
GC,29,,B,,,,,,,,,,,,,,,,,,5.9493521277,1.3229208863,
GC,30,F,B,1,0.9,0.8,0.75,0.7,0.9,0.8,0.9,0.75,0.7,0.9,,,,,0.832,,5.1693539218,1.1627804823,1
GC,31,M,B,1,,,,,,,,,,,6.8,7.5,1.3,1.4,0.767,,5.3666895674,1.1451399491,1
GC,32,M,B,1,,,,,,,,,,,4.5,5.5,1.4,1.3,0.797,,4.5865332014,1.1299709168,1
GC,33,F,B,1,1.3,1.35,1.6,1.4,1.4,1.4,1.4,1.4,1.45,1.5,,,,,3.708,,5.2907076923,1.2230769231,NA
GC,34,,B,,,,,,,,,,,,,,,,,,6.2076192527,1.3926058685,
GC,35,,B,,,,,,,,,,,,,,,,,,5.0969321567,1.1690928762,
GC,36,M,B,1,,,,,,,,,,,4.8,6.7,1.1,1.5,1.005,,6.0673286976,1.3153441433,1
GC,37,,B,,,,,,,,,,,,,,,,,,5.4440450614,1.2705706506,
GC,38,M,B,1,,,,,,,,,,,8,7,2,1.5,1.238,,6.2768527132,1.3876175711,1
GC,39,,B,,,,,,,,,,,,,,,,,,5.3047709428,1.3978033106,
GC,40,F,B,1,1.8,1.6,1.7,1.7,1.6,1.7,1.6,1.6,1.7,1.6,,,,,5.652,,6.1544490939,1.4627883245,1
GC,41,,B,,,,,,,,,,,,,,,,,,6.3305744662,1.4326972135,
GC,42,,B,,,,,,,,,,,,,,,,,,5.181117099,1.2231506027,
GC,43,,B,,,,,,,,,,,,,,,,,,5.712974516,1.3019723331,
GC,44,,B,,,,,,,,,,,,,,,,,,5.5763258566,1.4232203112,
GC,45,F,B,1,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.85,0.9,0.95,,,,,0.92,,5.469990719,1.2389128462,1
GC,46,,B,,,,,,,,,,,,,,,,,,5.0876988757,1.1436776452,
GC,47,,B,,,,,,,,,,,,,,,,,,6.2278397933,1.3914333181,
GC,48,,B,,,,,,,,,,,,,,,,,,4.9371992753,1.163859688,
GC,49,,B,,,,,,,,,,,,,,,,,,5.3487152797,1.3187906042,
GC,50,,B,,,,,,,,,,,,,,,,,,5.0542951093,1.159024961,
GC,51,,B,,,,,,,,,,,,,,,,,,5.5408301891,1.2539884346,
LN,1,M,B,1,,,,,,,,,,,5.1,5.9,1.3,1.5,0.783,,5.4895893499,1.2770558585,1
LN,2,M,B,1,,,,,,,,,,,4.3,4.5,1.3,1.2,0.539,,5.2864732367,1.2461155041,1
LN,3,M,B,1,,,,,,,,,,,7,7.4,1.4,1.5,0.785,,5.2914374202,1.1921670777,1
LN,4,M,B,1,,,,,,,,,,,8.2,7.5,1.6,1.5,1.225,,5.6655702148,1.315790958,1
LN,5,M,B,1,,,,,,,,,,,5.7,8,1.4,1.3,1.183,,5.2929898219,1.1988625954,1
LN,6,M,B,1,,,,,,,,,,,7,5.6,1.05,0.9,0.425,,5.4634783715,1.2520025445,1
LN,7,M,B,1,,,,,,,,,,,6.6,5.9,1.2,1.1,0.623,,5.0994498085,1.2306471544,1
LN,8,M,B,1,,,,,,,,,,,6,6.1,1,1,0.414,,5.7753881016,1.2771619876,1
LN,9,M,B,1,,,,,,,,,,,6.5,6.5,1.2,1,0.797,,5.4919079413,1.2922679302,1
LN,10,M,B,1,,,,,,,,,,,NA,NA,NA,NA,0.883,torn,5.2672139365,1.279123128,1
LN,11,M,B,1,,,,,,,,,,,7,6.1,1.2,1.1,0.873,,5.3289152794,1.263078702,1
LN,12,M,B,1,,,,,,,,,,,7,6.8,1.6,1,0.752,,5.3532634612,1.2079421402,1
LN,13,F,B,1,1,0.9,0.9,1,0.95,0.95,0.9,0.9,0.9,0.7,,,,,1.499,,5.5707168502,1.2013785874,1
LN,14,M,B,1,,,,,,,,,,,6.4,5.3,1.4,1.4,0.786,,5.8429134544,1.3338341612,1
LN,15,M,B,1,,,,,,,,,,,6.5,6.7,1.6,1.6,0.911,,5.4391302025,1.2533618652,1
LN,16,M,B,1,,,,,,,,,,,5.4,4.7,1.3,1.6,1.123,,5.3708230769,1.262125641,1
LN,17,M,B,1,,,,,,,,,,,6.8,5.9,1.5,1.6,1.068,,5.0605159958,1.144533864,1
LN,18,M,B,1,,,,,,,,,,,6.2,7.2,1.2,1.4,0.802,,5.2538870599,1.223136724,1
LN,19,M,B,1,,,,,,,,,,,6.4,7,1.4,1.2,0.933,,4.8886030534,1.1623384224,1
LN,20,M,B,1,,,,,,,,,,,4.6,6.4,1.4,1.4,0.781,,5.452570437,1.2136950891,1
LN,21,M,B,1,,,,,,,,,,,6.7,3.8,1.1,1.6,0.873,,5.4059641026,1.2154820513,1
LN,22,M,B,1,,,,,,,,,,,6,6,1,1.1,0.577,,5.3158778626,1.1909363868,1
LN,23,M,B,1,,,,,,,,,,,4.7,6.1,0.95,1.1,0.465,,5.0394577603,1.1388418818,1
LN,24,M,B,1,,,,,,,,,,,6,6.8,1.3,1.3,0.948,,5.0540936197,1.1464314465,1
LN,25,M,B,1,,,,,,,,,,,6.6,6.4,1,1.15,0.697,,5.4960179487,1.282125641,1
LN,26,M,B,1,,,,,,,,,,,4.6,6,1.1,0.9,0.578,,4.9642247475,1.1216212121,NA
LN,27,M,B,1,,,,,,,,,,,7.2,5.6,1.7,1.2,0.64,,5.4521620527,1.1921670777,NA
LN,28,M,B,1,,,,,,,,,,,5.5,5.5,1.5,1.3,0.763,,4.9168829517,1.1844122137,NA
LN,29,M,B,1,,,,,,,,,,,,,,,,,5.4493810447,1.2467077936,2
LN,30,M,B,1,,,,,,,,,,,,,,,,,4.7607420657,1.0693542929,2
MB,1,,B,,,,,,,,,,,,,,,,,,6.2310426485,1.287062805,
MB,2,,B,,,,,,,,,,,,,,,,,,5.1828356545,1.1552424703,
MB,3,,B,,,,,,,,,,,,,,,,,,6.0567290212,1.2628773247,
MB,4,,B,,,,,,,,,,,,,,,,,,6.3429756882,1.3854478917,
MB,5,,B,,,,,,,,,,,,,,,,,,5.7186342778,1.2064039634,
MB,6,,B,,,,,,,,,,,,,,,,,,5.0218854982,1.1633823171,
MB,7,,B,,,,,,,,,,,,,,,,,,5.8817036307,1.2985033862,
MB,8,,B,,,,,,,,,,,,,,,,,,4.9978405885,1.042744612,
MB,9,,B,,,,,,,,,,,,,,,,,,5.1018158085,1.1401762197,
MB,10,,B,,,,,,,,,,,,,,,,,,5.4902200717,1.2589280304,
MB,11,,B,,,,,,,,,,,,,,,,,,5.4168014732,1.2587305657,
MB,12,,B,,,,,,,,,,,,,,,,,,5.6397135945,1.2659203528,
MB,13,,B,,,,,,,,,,,,,,,,,,5.5071028761,1.2182212887,
MB,14,,B,,,,,,,,,,,,,,,,,,5.7736347282,1.3900536865,
MB,15,,B,,,,,,,,,,,,,,,,,,5.9180858255,1.2801682944,
MB,16,,B,,,,,,,,,,,,,,,,,,6.1503698713,1.4361219111,
MB,17,,B,,,,,,,,,,,,,,,,,,4.9934741784,1.1690985915,
MB,18,,B,,,,,,,,,,,,,,,,,,5.2188676188,1.1527719266,
MB,19,,B,,,,,,,,,,,,,,,,,,6.0371841274,1.3452335685,
MB,20,,B,,,,,,,,,,,,,,,,,,4.0423224478,0.9448396818,
MB,21,,B,,,,,,,,,,,,,,,,,,4.8356357492,1.0697807921,
MB,22,,B,,,,,,,,,,,,,,,,,,5.6374731935,1.3077109557,
MB,23,,B,,,,,,,,,,,,,,,,,,5.3852703963,1.2517668998,
MB,24,,B,,,,,,,,,,,,,,,,,,5.2909769003,1.1842917415,
MB,25,,B,,,,,,,,,,,,,,,,,,5.4200150058,1.2722476979,
MB,26,,B,,,,,,,,,,,,,,,,,,6.2603643877,1.370245691,
MB,27,,B,,,,,,,,,,,,,,,,,,4.6056805556,1.0696481481,
MB,28,,B,,,,,,,,,,,,,,,,,,4.5969072451,1.0347142176,
MB,29,,B,,,,,,,,,,,,,,,,,,4.9060676753,1.1299201994,
MB,30,,B,,,,,,,,,,,,,,,,,,4.7622843451,1.0489415955,
MB,31,,B,,,,,,,,,,,,,,,,,,4.9221778911,1.174651708,
MB,32,,B,,,,,,,,,,,,,,,,,,4.6841361502,1.0987957746,
MB,33,,B,,,,,,,,,,,,,,,,,,5.3204993346,1.2837347504,
MB,34,,B,,,,,,,,,,,,,,,,,,5.5932392247,1.1928259022,
MB,35,,B,,,,,,,,,,,,,,,,,,5.1413262911,1.1411924883,
MB,36,,B,,,,,,,,,,,,,,,,,,4.1701114155,0.8937072558,
MB,37,,B,,,,,,,,,,,,,,,,,,5.338062914,1.1553532281,
MB,38,,B,,,,,,,,,,,,,,,,,,5.3141217425,1.2023263617,
MH,1,,C,,,,,,,,,,,,,,,,,,4.1287981929,0.8973875766,
MH,2,,C,,,,,,,,,,,,,,,,,,5.0050279344,1.0819930209,
MH,3,,C,,,,,,,,,,,,,,,,,,4.9463408977,1.020618291,
MH,4,,C,,,,,,,,,,,,,,,,,,3.2251410256,0.7384615385,
MH,5,F,C,1,,,,,,,,,,,,,,,,,4.3078713793,1.0466457802,2
MH,6,,C,,,,,,,,,,,,,,,,,,3.545360378,0.8052310004,
MH,7,F,C,1,,,,,,,,,,,,,,,,,3.9015313249,0.9073208862,1
MH,8,,C,,,,,,,,,,,,,,,,,,4.0444812538,0.9636772063,
MH,9,F,C,1,,,,,,,,,,,,,,,,,4.3035695059,1.0389225855,1
MH,10,F,C,1,,,,,,,,,,,,,,,,,4.5833480761,1.0261242343,1
MH,11,M,C,1,,,,,,,,,,,,,,,,,3.8120480562,0.8898584188,1
MH,12,,C,,,,,,,,,,,,,,,,,,4.3668469204,0.8603967994,
MH,13,,C,,,,,,,,,,,,,,,,,,4.2502331606,0.9794948187,
MH,14,,C,,,,,,,,,,,,,,,,,,4.2021196551,0.9920686865,
MH,15,,C,,,,,,,,,,,,,,,,,,4.8413164779,1.061854873,
MH,16,M,C,1,,,,,,,,,,,,,,,,,4.5613906717,1.0784532977,1
MH,17,,C,,,,,,,,,,,,,,,,,,4.131184527,0.9130717915,
MH,18,,C,,,,,,,,,,,,,,,,,,4.6877179487,1.047674359,
MH,19,F,C,1,,,,,,,,,,,,,,,,,4.5510519096,0.9384623274,1
MH,20,M,C,1,,,,,,,,,,,,,,,,,4.1137416698,0.9555001211,2
MH,21,M,C,1,,,,,,,,,,,,,,,,,4.1706209244,0.9484194931,1
MH,22,M,C,1,,,,,,,,,,,,,,,,,4.5964202623,1.03347856,1
MH,23,,C,,,,,,,,,,,,,,,,,,4.2618294912,0.9301935024,
MH,24,,C,,,,,,,,,,,,,,,,,,5.0159869745,1.169315778,
MH,25,,C,,,,,,,,,,,,,,,,,,4.1854694171,0.9128652197,
MH,26,F,C,1,,,,,,,,,,,,,,,,,5.1656672944,1.2300841206,1
MH,27,,C,,,,,,,,,,,,,,,,,,4.417696792,0.9396639681,
MH,28,F,C,1,,,,,,,,,,,,,,,,,4.2059928004,0.9642969984,2
MH,29,M,C,1,,,,,,,,,,,,,,,,,4.1399679419,0.9436948197,2
MH,30,,C,,,,,,,,,,,,,,,,,,4.2862128205,0.9540666667,
MH,31,F,C,1,,,,,,,,,,,,,,,,,4.2312406251,0.9230804733,2
MH,32,,C,,,,,,,,,,,,,,,,,,3.719925641,0.8221128205,
MH,33,,C,,,,,,,,,,,,,,,,,,4.7389307692,1.1230897436,
MH,34,,C,,,,,,,,,,,,,,,,,,3.8317126677,0.8879444926,
MH,35,M,C,1,,,,,,,,,,,,,,,,,3.9026340206,0.9433556701,2
MH,36,M,C,1,,,,,,,,,,,,,,,,,3.8959769231,0.9180051282,2
MH,37,,C,,,,,,,,,,,,,,,,,,4.2906801753,0.9861750917,
MH,38,,C,,,,,,,,,,,,,,,,,,3.4838348226,0.8923552262,
MH,39,,C,,,,,,,,,,,,,,,,,,4.449651422,1.0160796897,
MH,40,,C,,,,,,,,,,,,,,,,,,4.7428206205,1.1494326338,
MH,41,,C,,,,,,,,,,,,,,,,,,4.128939211,0.9698426495,
MH,42,,C,,,,,,,,,,,,,,,,,,4.2911153846,0.9510564103,
MH,43,,C,,,,,,,,,,,,,,,,,,4.3437312522,1.0261481979,
MR,1,M,C,1,,,,,,,,,,,,,,,,,5.0496937432,1.1631777897,1
MR,2,F,C,1,,,,,,,,,,,,,,,,,5.279466626,1.2356092114,1
MR,3,F,C,1,,,,,,,,,,,,,,,,,4.8786317501,1.0999711912,1
MR,4,M,C,1,,,,,,,,,,,,,,,,,5.1795429167,1.1862213133,1
MR,5,,C,,,,,,,,,,,,,,,,,,5.578518023,1.2481213494,
MR,6,,C,,,,,,,,,,,,,,,,,,4.8668064936,1.1007230212,
MR,7,F,C,1,,,,,,,,,,,,,,,,,6.223965807,1.4401162145,1
MR,8,F,C,1,,,,,,,,,,,,,,,,,5.5023162592,1.2043578762,1
MR,9,M,C,1,,,,,,,,,,,,,,,,,5.0501083814,1.2405027385,1
MR,10,F,C,1,,,,,,,,,,,,,,,,,5.1620719648,1.2212500236,1
MR,11,,C,,,,,,,,,,,,,,,,,,4.0513547448,0.8523873784,
MR,12,,C,,,,,,,,,,,,,,,,,,4.1615685777,0.8804484065,
MR,13,,C,,,,,,,,,,,,,,,,,,4.5122097786,0.9397926345,
MR,14,M,C,1,,,,,,,,,,,,,,,,,5.1571910751,1.1409274203,1
MR,15,M,C,1,,,,,,,,,,,,,,,,,5.0920850758,1.1276302507,1
MR,16,,C,,,,,,,,,,,,,,,,,,3.8240023474,0.8311056338,
MR,17,F,C,1,,,,,,,,,,,,,,,,,5.6132112676,1.2117793427,1
MR,18,M,C,1,,,,,,,,,,,,,,,,,5.4930426313,1.2466985062,1
MR,19,,C,,,,,,,,,,,,,,,,,,3.4860038825,0.8240421022,
MR,20,,C,,,,,,,,,,,,,,,,,,4.5595976784,0.9370410946,
MR,21,,C,,,,,,,,,,,,,,,,,,4.6617082657,0.9859909721,
MR,22,,C,,,,,,,,,,,,,,,,,,5.8203096927,1.3623664303,
MR,23,,C,,,,,,,,,,,,,,,,,,5.093463357,1.163141844,
MR,24,,C,,,,,,,,,,,,,,,,,,5.0498250591,1.1419314421,
MR,25,,C,,,,,,,,,,,,,,,,,,4.8951016548,1.1419314421,
MR,26,,C,,,,,,,,,,,,,,,,,,5.439884542,1.2132521377,
MR,27,,C,,,,,,,,,,,,,,,,,,5.3900756501,1.1986028369,
MR,28,,C,,,,,,,,,,,,,,,,,,4.4748576278,0.9576583115,
MR,29,,C,,,,,,,,,,,,,,,,,,4.7071390175,1.1234263904,
MR,30,,C,,,,,,,,,,,,,,,,,,4.795088071,1.0709177776,
MR,31,,C,,,,,,,,,,,,,,,,,,4.9996170602,1.1789132547,
MR,32,,C,,,,,,,,,,,,,,,,,,4.7317351085,1.120739177,
MR,33,,C,,,,,,,,,,,,,,,,,,5.4015632924,1.3075967058,
MR,34,,C,,,,,,,,,,,,,,,,,,5.5976133008,1.1915434823,
MR,35,,C,,,,,,,,,,,,,,,,,,5.2907182083,1.1864868762,
MR,36,,C,,,,,,,,,,,,,,,,,,4.241141844,0.8938699764,
MR,37,,C,,,,,,,,,,,,,,,,,,5.4786819445,1.1886878248,
MR,38,,C,,,,,,,,,,,,,,,,,,3.8870956007,0.845614241,
MR,39,,C,,,,,,,,,,,,,,,,,,3.8095274118,0.7738427606,
MR,40,,C,,,,,,,,,,,,,,,,,,5.1429787234,1.2728463357,
MR,41,,C,,,,,,,,,,,,,,,,,,4.1101011558,0.8936221517,
MR,42,,C,,,,,,,,,,,,,,,,,,5.8521681365,1.3949710219,
MR,43,,C,,,,,,,,,,,,,,,,,,4.3973049645,0.9361962175,
MR,44,,C,,,,,,,,,,,,,,,,,,4.2557422226,0.9296590933,
MR,45,,C,,,,,,,,,,,,,,,,,,4.8048112224,1.028561905,
MR,46,,C,,,,,,,,,,,,,,,,,,4.0605043368,0.8317041401,
MR,47,F,C,1,,,,,,,,,,,,,,,,,5.2065149997,1.1678259248,1
MR,48,,C,,,,,,,,,,,,,,,,,,4.2373531658,0.8865017695,
MR,49,,C,,,,,,,,,,,,,,,,,,4.0915058275,0.8531468531,
